Unnamed: 0,property_id,city,locality,locality_tier,property_type,bhk,bathrooms,balconies,built_up_area,carpet_area,floor_number,total_floors,floor_category,facing,furnishing_status,property_age,parking_spaces,security_score,gym_available,swimming_pool,power_backup,lift_available,maintenance_fee_monthly,distance_to_city_center_km,distance_to_metro_km,nearby_schools,nearby_hospitals,transaction_type,price_category,price_in_lakhs,Housing Price Predicted Value
0,PROP-033554,Bangalore,Indiranagar,Premium,Apartment,4,4,2,1900,1540,7,12,Mid (5-9),North-East,Fully Furnished,0,3,5.6,1,1,1,1,6511,8.1,0.2,3,3,Resale,High,328.62,317.2831999999998
1,PROP-009428,Bangalore,HSR Layout,Standard,Studio,1,2,1,517,431,0,1,Ground,South,Fully Furnished,7,2,5.0,0,0,1,0,1320,11.6,2.1,2,1,Resale,Low,18.03,28.89120000000003
2,PROP-000200,Hyderabad,Banjara Hills,Premium,Studio,1,2,2,365,319,1,2,Low (1-4),South-East,Unfurnished,0,0,6.4,0,0,1,0,1236,5.7,2.8,2,6,Resale,Low,51.68,48.9731
3,PROP-012448,Hyderabad,Gachibowli,Standard,Row House,3,3,1,1379,1161,17,19,High (10-19),North-East,Semi-Furnished,3,0,4.3,0,0,0,1,2172,13.9,0.1,2,5,Resale,Low,100.92,109.34990000000003
4,PROP-039490,Delhi,South Delhi,Premium,Independent House,4,3,1,2213,1788,3,6,Low (1-4),West,Unfurnished,4,5,4.5,0,0,0,1,2591,6.1,0.8,5,1,Resale,High,269.12,283.32199999999983
5,PROP-042725,Hyderabad,Jubilee Hills,Premium,Independent House,3,4,2,1699,1495,6,7,Mid (5-9),North,Unfurnished,10,1,6.3,1,1,1,1,7064,6.9,2.3,3,5,Resale,High,236.83,240.56420000000028
6,PROP-010823,Mumbai,Andheri,Standard,Row House,3,3,3,1299,1057,0,7,Ground,South-West,Fully Furnished,9,1,5.0,0,0,0,0,2287,11.0,0.8,0,2,Resale,Low,120.42,101.8676
7,PROP-049499,Delhi,South Delhi,Premium,Apartment,4,3,2,1658,1444,2,10,Low (1-4),North-West,Unfurnished,2,1,8.1,1,0,0,1,4674,10.4,0.9,4,3,Resale,High,260.74,252.5423000000004
8,PROP-004145,Delhi,Noida Sector 62,Standard,Row House,4,5,0,1782,1545,0,2,Ground,North-East,Semi-Furnished,1,3,4.6,1,0,0,0,4811,14.5,1.0,6,0,New,Low,179.62,167.18680000000023
9,PROP-036959,Bangalore,Koramangala,Premium,Apartment,3,3,2,1036,837,0,3,Ground,North-West,Unfurnished,11,1,6.0,1,1,1,0,6090,9.9,3.6,2,3,New,Low,121.47,129.08939999999993
10,PROP-043107,Bangalore,Koramangala,Premium,Apartment,4,5,0,2028,1661,2,4,Low (1-4),North,Unfurnished,6,2,7.6,1,0,1,1,4197,5.5,3.8,5,5,Resale,High,288.47,274.39799999999997
11,PROP-038696,Hyderabad,Madhapur,Standard,Row House,3,3,4,1390,1162,0,18,Ground,North,Unfurnished,3,0,3.1,0,0,0,0,2803,12.1,0.9,1,2,Resale,Low,85.5,94.62260000000002
12,PROP-006189,Bangalore,HSR Layout,Standard,Apartment,2,3,1,738,612,7,12,Mid (5-9),North-West,Semi-Furnished,5,2,4.9,0,0,0,1,1601,14.0,2.9,2,0,Resale,Low,53.62,62.98449999999998
13,PROP-001415,Delhi,South Delhi,Premium,Villa,5,5,4,2672,2255,16,20,High (10-19),North-East,Semi-Furnished,1,4,8.0,1,1,1,1,6989,11.4,4.3,5,2,Resale,High,351.27,381.17510000000004
14,PROP-018472,Mumbai,Thane,Affordable,Studio,1,2,3,501,412,12,19,High (10-19),South,Fully Furnished,1,2,5.1,0,0,0,1,981,20.0,2.1,3,0,Resale,Low,29.38,24.069699999999997
15,PROP-029283,Mumbai,Powai,Standard,Penthouse,3,3,1,1584,1369,0,17,Ground,South-West,Semi-Furnished,11,0,7.8,0,0,0,0,3278,10.8,4.1,1,2,Resale,Low,122.1,119.91810000000012
16,PROP-015178,Bangalore,Whitefield,Standard,Apartment,1,1,2,606,502,7,11,Mid (5-9),North,Unfurnished,0,0,4.1,0,0,0,1,1751,15.2,2.4,5,1,Resale,Low,56.06,50.881900000000044
17,PROP-034305,Delhi,South Delhi,Premium,Studio,1,1,3,595,507,18,21,High (10-19),East,Semi-Furnished,0,2,5.2,1,0,1,1,3260,4.5,2.7,1,0,Resale,Low,74.93,83.15420000000003
18,PROP-012610,Delhi,South Delhi,Premium,Penthouse,4,4,1,2039,1790,4,12,Low (1-4),East,Unfurnished,4,2,9.8,1,0,1,1,4895,6.2,8.8,1,4,Resale,High,329.01,313.38959999999963
19,PROP-012145,Delhi,Gurgaon DLF,Premium,Villa,3,4,2,1747,1436,9,18,Mid (5-9),North-West,Unfurnished,7,2,8.0,1,1,1,1,6329,8.6,14.2,2,1,Resale,High,229.01,237.1443999999997
20,PROP-006114,Hyderabad,Gachibowli,Standard,Villa,2,2,3,1274,1107,4,10,Low (1-4),South-West,Unfurnished,6,1,7.7,1,1,0,1,6220,22.2,1.5,5,0,Resale,Low,103.89,96.30700000000003
21,PROP-015909,Bangalore,Electronic City,Standard,Apartment,2,1,2,883,774,17,25,High (10-19),South-East,Unfurnished,6,0,4.8,0,0,1,1,2391,12.7,5.7,3,0,Resale,Low,61.53,68.53629999999998
22,PROP-000822,Bangalore,Electronic City,Standard,Apartment,1,1,1,615,499,1,7,Low (1-4),South-East,Unfurnished,8,0,3.9,0,0,1,0,1663,13.4,1.5,3,2,New,Low,45.28,44.0191
23,PROP-015119,Mumbai,Thane,Affordable,Apartment,2,2,1,1107,956,9,16,Mid (5-9),North-West,Semi-Furnished,0,1,5.4,1,1,0,1,5890,20.3,0.6,1,1,Resale,Low,64.06,50.85469999999997
24,PROP-013467,Mumbai,Andheri,Standard,Villa,3,3,0,1696,1463,4,9,Low (1-4),North-East,Semi-Furnished,0,2,6.3,1,0,1,1,4004,12.3,1.7,3,3,Resale,Low,145.9,145.51839999999984
25,PROP-026498,Bangalore,Koramangala,Premium,Apartment,3,3,0,1450,1172,3,8,Low (1-4),South,Semi-Furnished,2,2,6.4,1,1,0,1,6814,7.1,0.5,1,5,Resale,High,202.81,230.19229999999996
26,PROP-042112,Bangalore,Indiranagar,Premium,Independent House,3,2,3,1810,1589,37,43,Top (20+),South-East,Semi-Furnished,6,2,6.2,1,1,1,1,6466,4.3,6.3,6,2,New,High,335.82,324.18939999999986
27,PROP-030189,Hyderabad,Jubilee Hills,Premium,Studio,1,1,1,408,333,21,22,Top (20+),South-West,Semi-Furnished,15,2,4.8,1,1,1,1,4486,5.8,2.0,5,3,Resale,Low,79.67,70.31550000000003
